        Waves       Grating       DQE     M1_LiF   eLiF        A_eff         BEF
 1187 0.4625 0.2987 0.7322 0.7615  15.1434     1.3823e-17
 1188 0.4625 0.2969 0.7321 0.7605  15.0214     1.3924e-17
 1189 0.4625 0.2951 0.7320 0.7595  14.8998     1.4026e-17
 1190 0.4625 0.2933 0.7319 0.7584  14.7786     1.4129e-17
 1191 0.4625 0.2915 0.7317 0.7574  14.6579     1.4233e-17
 1192 0.4625 0.2897 0.7316 0.7563  14.5375     1.4339e-17
 1193 0.4625 0.2879 0.7315 0.7555  14.4175     1.4446e-17
 1194 0.4625 0.2861 0.7314 0.7547  14.3019     1.4551e-17
 1195 0.4625 0.2848 0.7313 0.7538  14.2046     1.4638e-17
 1196 0.4625 0.2838 0.7311 0.7530  14.1256     1.4708e-17
 1197 0.4625 0.2834 0.7310 0.7521  14.0767     1.4746e-17
 1198 0.4625 0.2832 0.7309 0.7513  14.0418     1.4771e-17
 1199 0.4625 0.2833 0.7308 0.7505  14.0171     1.4784e-17
 1200 0.5162 0.2833 0.7307 0.7496  15.6141     1.3261e-17
 1201 0.5154 0.2832 0.7304 0.7488  15.5498     1.3305e-17
 1202 0.5145 0.2828 0.7300 0.7479  15.4629     1.3369e-17
 1203 0.5137 0.2824 0.7295 0.7471  15.3770     1.3432e-17
 1204 0.5128 0.2821 0.7290 0.7463  15.2934     1.3494e-17
 1205 0.5120 0.2818 0.7285 0.7454  15.2121     1.3555e-17
 1206 0.5112 0.2815 0.7281 0.7446  15.1331     1.3615e-17
 1207 0.5103 0.2812 0.7276 0.7438  15.0564     1.3673e-17
 1208 0.5095 0.2810 0.7271 0.7429  14.9814     1.3730e-17
 1209 0.5086 0.2808 0.7266 0.7421  14.9087     1.3785e-17
 1210 0.5077 0.2806 0.7262 0.7412  14.8363     1.3841e-17
 1211 0.5069 0.2804 0.7257 0.7404  14.7641     1.3897e-17
 1212 0.5061 0.2801 0.7252 0.7396  14.6923     1.3954e-17
 1213 0.5052 0.2799 0.7247 0.7387  14.6205     1.4011e-17
 1214 0.5044 0.2797 0.7243 0.7379  14.5483     1.4069e-17
 1215 0.5035 0.2794 0.7238 0.7370  14.4759     1.4127e-17
 1216 0.5027 0.2792 0.7233 0.7362  14.4032     1.4187e-17
 1217 0.5018 0.2789 0.7228 0.7354  14.3303     1.4247e-17
 1218 0.5009 0.2786 0.7224 0.7345  14.2572     1.4309e-17
 1219 0.5001 0.2784 0.7219 0.7337  14.1844     1.4370e-17
 1220 0.4993 0.2781 0.7214 0.7329  14.1120     1.4432e-17
 1221 0.4984 0.2778 0.7209 0.7321  14.0398     1.4495e-17
 1222 0.4976 0.2775 0.7204 0.7312  13.9679     1.4557e-17
 1223 0.4967 0.2773 0.7200 0.7304  13.8963     1.4620e-17
 1224 0.4958 0.2770 0.7195 0.7296  13.8250     1.4684e-17
 1225 0.4950 0.2767 0.7190 0.7288  13.7539     1.4748e-17
 1226 0.4942 0.2764 0.7185 0.7280  13.6832     1.4812e-17
 1227 0.4933 0.2761 0.7181 0.7272  13.6127     1.4876e-17
 1228 0.4924 0.2759 0.7176 0.7264  13.5524     1.4930e-17
 1229 0.4916 0.2756 0.7172 0.7256  13.4935     1.4983e-17
 1230 0.4908 0.2753 0.7171 0.7248  13.4416     1.5029e-17
 1231 0.4899 0.2750 0.7170 0.7240  13.3897     1.5075e-17
 1232 0.4891 0.2748 0.7169 0.7232  13.3380     1.5121e-17
 1233 0.4882 0.2745 0.7168 0.7224  13.2863     1.5168e-17
 1234 0.4873 0.2742 0.7167 0.7216  13.2345     1.5215e-17
 1235 0.4865 0.2739 0.7166 0.7208  13.1826     1.5262e-17
 1236 0.4856 0.2736 0.7165 0.7199  13.1306     1.5310e-17
 1237 0.4848 0.2733 0.7165 0.7191  13.0785     1.5359e-17
 1238 0.4840 0.2730 0.7164 0.7183  13.0265     1.5408e-17
 1239 0.4831 0.2727 0.7163 0.7175  12.9745     1.5457e-17
 1240 0.4823 0.2724 0.7162 0.7167  12.9228     1.5506e-17
 1241 0.4814 0.2721 0.7161 0.7159  12.8711     1.5556e-17
 1242 0.4806 0.2718 0.7160 0.7151  12.8197     1.5606e-17
 1243 0.4797 0.2715 0.7159 0.7143  12.7683     1.5656e-17
 1244 0.4789 0.2712 0.7159 0.7135  12.7171     1.5706e-17
 1245 0.4780 0.2709 0.7158 0.7127  12.6661     1.5757e-17
 1246 0.4771 0.2706 0.7157 0.7122  12.6152     1.5808e-17
 1247 0.4763 0.2703 0.7156 0.7117  12.5644     1.5859e-17
 1248 0.4755 0.2700 0.7155 0.7113  12.5190     1.5904e-17
 1249 0.4746 0.2697 0.7154 0.7108  12.4751     1.5947e-17
 1250 0.4737 0.2694 0.7153 0.7104  12.4313     1.5990e-17
 1251 0.4730 0.2691 0.7152 0.7099  12.3902     1.6031e-17
 1252 0.4723 0.2688 0.7152 0.7094  12.3492     1.6071e-17
 1253 0.4715 0.2685 0.7151 0.7090  12.3083     1.6111e-17
 1254 0.4708 0.2682 0.7150 0.7085  12.2675     1.6152e-17
 1255 0.4700 0.2679 0.7149 0.7081  12.2263     1.6194e-17
 1256 0.4692 0.2676 0.7148 0.7076  12.1844     1.6236e-17
 1257 0.4685 0.2672 0.7147 0.7071  12.1420     1.6280e-17
 1258 0.4678 0.2669 0.7146 0.7067  12.0989     1.6325e-17
 1259 0.4670 0.2665 0.7146 0.7062  12.0553     1.6371e-17
 1260 0.4663 0.2661 0.7145 0.7058  12.0116     1.6418e-17
 1261 0.4655 0.2657 0.7144 0.7053  11.9679     1.6464e-17
 1262 0.4648 0.2654 0.7142 0.7048  11.9102     1.6531e-17
 1263 0.4640 0.2650 0.7141 0.7044  11.8521     1.6599e-17
 1264 0.4633 0.2646 0.7139 0.7039  11.7942     1.6667e-17
 1265 0.4625 0.2642 0.7138 0.7035  11.7366     1.6736e-17
 1266 0.4618 0.2638 0.7136 0.7030  11.6791     1.6805e-17
 1267 0.4610 0.2635 0.7135 0.7026  11.6219     1.6874e-17
 1268 0.4603 0.2631 0.7133 0.7019  11.5649     1.6944e-17
 1269 0.4595 0.2627 0.7131 0.7012  11.5081     1.7014e-17
 1270 0.4588 0.2623 0.7130 0.7005  11.4515     1.7085e-17
 1271 0.4580 0.2620 0.7128 0.6997  11.3951     1.7156e-17
 1272 0.4573 0.2616 0.7127 0.6990  11.3390     1.7228e-17
 1273 0.4565 0.2612 0.7125 0.6982  11.2830     1.7299e-17
 1274 0.4558 0.2608 0.7123 0.6975  11.2272     1.7372e-17
 1275 0.4550 0.2604 0.7122 0.6968  11.1717     1.7444e-17
 1276 0.4543 0.2601 0.7120 0.6960  11.1163     1.7517e-17
 1277 0.4535 0.2597 0.7119 0.6953  11.0612     1.7591e-17
 1278 0.4528 0.2593 0.7117 0.6946  11.0062     1.7665e-17
 1279 0.4520 0.2589 0.7116 0.6938  10.9535     1.7736e-17
 1280 0.4513 0.2586 0.7114 0.6931  10.9010     1.7808e-17
 1281 0.4505 0.2582 0.7112 0.6923  10.8487     1.7880e-17
 1282 0.4498 0.2578 0.7111 0.6916  10.7965     1.7952e-17
 1283 0.4490 0.2574 0.7109 0.6909  10.7446     1.8025e-17
 1284 0.4483 0.2570 0.7108 0.6901  10.6928     1.8098e-17
 1285 0.4475 0.2567 0.7106 0.6894  10.6412     1.8171e-17
 1286 0.4468 0.2563 0.7104 0.6887  10.5898     1.8245e-17
 1287 0.4460 0.2559 0.7103 0.6879  10.5385     1.8320e-17
 1288 0.4453 0.2555 0.7101 0.6872  10.4875     1.8395e-17
 1289 0.4445 0.2552 0.7100 0.6865  10.4366     1.8470e-17
 1290 0.4437 0.2548 0.7098 0.6857  10.3860     1.8546e-17
 1291 0.4430 0.2544 0.7096 0.6850  10.3355     1.8622e-17
 1292 0.4423 0.2540 0.7095 0.6843  10.2852     1.8699e-17
 1293 0.4415 0.2537 0.7093 0.6837  10.2352     1.8775e-17
 1294 0.4408 0.2533 0.7092 0.6831  10.1856     1.8852e-17
 1295 0.4400 0.2529 0.7090 0.6825  10.1364     1.8929e-17
 1296 0.4393 0.2526 0.7089 0.6819  10.0877     1.9006e-17
 1297 0.4385 0.2522 0.7088 0.6813  10.0402     1.9081e-17
 1298 0.4377 0.2518 0.7087 0.6806   9.9560     1.9228e-17
 1299 0.4370 0.2515 0.7086 0.6800   9.8690     1.9382e-17
 1300 0.4363 0.2511 0.7085 0.6794   9.7826     1.9538e-17
 1301 0.4363 0.2508 0.7085 0.6788   9.7157     1.9658e-17
 1302 0.4365 0.2504 0.7084 0.6782   9.6491     1.9778e-17
 1303 0.4366 0.2501 0.7083 0.6776   9.5828     1.9900e-17
 1304 0.4367 0.2497 0.7082 0.6770   9.5167     2.0023e-17
 1305 0.4368 0.2494 0.7081 0.6764   9.4509     2.0146e-17
 1306 0.4369 0.2490 0.7081 0.6758   9.3855     2.0271e-17
 1307 0.4370 0.2486 0.7080 0.6752   9.3203     2.0398e-17
 1308 0.4371 0.2483 0.7079 0.6746   9.2554     2.0525e-17
 1309 0.4372 0.2479 0.7078 0.6740   9.2037     2.0624e-17
 1310 0.4372 0.2476 0.7077 0.6734   9.1917     2.0636e-17
 1311 0.4374 0.2472 0.7076 0.6728   9.1797     2.0647e-17
 1312 0.4375 0.2469 0.7076 0.6722   9.1677     2.0658e-17
 1313 0.4376 0.2465 0.7075 0.6716   9.1557     2.0669e-17
 1314 0.4376 0.2462 0.7074 0.6710   9.1711     2.0619e-17
 1315 0.4377 0.2458 0.7073 0.6704   9.1863     2.0569e-17
 1316 0.4378 0.2454 0.7072 0.6698   9.2016     2.0519e-17
 1317 0.4380 0.2451 0.7072 0.6692   9.2168     2.0470e-17
 1318 0.4381 0.2447 0.7071 0.6684   9.2320     2.0421e-17
 1319 0.4382 0.2444 0.7070 0.6677   9.2472     2.0372e-17
 1320 0.4382 0.2440 0.7069 0.6669   9.2623     2.0323e-17
 1321 0.4383 0.2437 0.7068 0.6662   9.2648     2.0302e-17
 1322 0.4385 0.2433 0.7067 0.6654   9.2580     2.0302e-17
 1323 0.4385 0.2429 0.7067 0.6646   9.2509     2.0302e-17
 1324 0.4386 0.2425 0.7066 0.6639   9.2427     2.0305e-17
